FOLD,PROGRAM_PAIR,N_HOLDOUT_PAIRS,RAW_WIDTH_BEFORE_KMS,RAW_WIDTH_AFTER_KMS,WIDTH_BEFORE_Z,WIDTH_AFTER_Z,TAIL_GT_3_BEFORE,TAIL_GT_3_AFTER,TAIL_GT_5_BEFORE,TAIL_GT_5_AFTER,GAUSSIAN_PAIR_LOSS_BEFORE,GAUSSIAN_PAIR_LOSS_AFTER,TRAIN_PAIR_FLOOR_KMS
0,BACKUP / BACKUP,198365,3.6658024952650226,2.956957187656556,1.0810512066516527,0.8759415628719692,0.06694729412950873,0.048330098555692785,0.026678093413656644,0.022584629344894514,4.585349011596683,4.2639207206022975,2.779092223031867
0,BACKUP / BRIGHT,44157,3.720044186105287,3.620891161351926,0.9446849180165799,0.9186522356935655,0.031003011979980524,0.030414203863487102,0.015150485766696108,0.01521842516475304,3.8725347900637908,3.8525611320361004,2.9690691408668872
0,BACKUP / DARK,5512,5.629072881182973,5.648533592572596,0.9798989349057556,0.9638976303506885,0.02830188679245283,0.028664731494920173,0.01288098693759071,0.013606676342525399,3.7672041936889933,3.738231937743287,3.742851990765159
0,BRIGHT / BRIGHT,50099,2.887586664474603,2.785163462525499,0.8908229301335945,0.8520898106513313,0.030339926944649594,0.029341903031996647,0.016726880776063394,0.016826683167328688,4.42906993675252,4.401349897380108,2.0463291809317887
0,BRIGHT / DARK,23634,4.393051737501699,4.153200452475197,0.9936904480118065,0.9280455809963938,0.035965134975035964,0.034822713040534824,0.016586274012016587,0.01667089785901667,3.94250038237558,3.8830171962113265,2.787187979835968
0,DARK / DARK,23132,3.5345000816799272,3.478261804531032,0.9708353418365596,0.951677260695261,0.03432474494207159,0.03423828462735604,0.01802697561819125,0.017940515303475704,3.7690040145948154,3.7574798305409116,2.465205485206362
1,BACKUP / BACKUP,199742,3.6911364866826144,2.9529699634830333,1.088845197883358,0.8739520107570976,0.0666059216389142,0.04820718727158034,0.02698981686375424,0.022278739574050525,4.6695121336358465,4.342312533792975,2.7781505762524703
1,BACKUP / BRIGHT,44106,3.7531332612014436,3.628267125843963,0.9570282194842397,0.9212500336723612,0.03063075318550764,0.029655829138892666,0.014669206003718314,0.015054641091914933,3.73757745392956,3.7195459461648723,2.9670207336712333
1,BACKUP / DARK,5834,5.717407845212444,5.556014526659755,0.9866515545168657,0.9445059708968975,0.029310935893040794,0.029653753856702093,0.011827219746314706,0.011655810764484058,3.6961509890087507,3.66418667532858,3.765009134230525
1,BRIGHT / BRIGHT,50110,2.915637193259278,2.7761725329311817,0.8926102305433663,0.8568223472834451,0.029335461983636,0.028417481540610655,0.016683296747156257,0.016543604071043702,4.2680555389904224,4.237663106954939,2.0479726462901033
1,BRIGHT / DARK,23840,4.420933445659237,4.185098878332809,1.000767782781248,0.9418403181383712,0.03343120805369128,0.033011744966442956,0.017911073825503356,0.017701342281879195,4.012963567958971,3.9600133059670215,2.7820301763980275
1,DARK / DARK,23229,3.467305101805856,3.398988679198961,0.9567785872049348,0.9365724355098579,0.03344956735115588,0.033019070988850145,0.017176804855998967,0.017262904128460113,3.7058768532618904,3.6893777709516975,2.4797642351920484
2,BACKUP / BACKUP,198295,3.676745691437202,2.953205320874461,1.0846149257907292,0.8736910382065607,0.06687511031543912,0.048690082957210216,0.026823671802113012,0.022441312186388965,4.606762904577863,4.286547126855086,2.7791997395301853
2,BACKUP / BRIGHT,43822,3.7075656878015453,3.5941102779140692,0.9370696764441971,0.9122983614415016,0.027931176121582767,0.027315047236547853,0.013121263292410205,0.01328100041075259,3.874719992411546,3.8549712979285675,2.974943188651213
2,BACKUP / DARK,5291,5.622336213380375,5.461509021681252,0.9524666159740183,0.9218478082506316,0.023436023436023436,0.022113022113022112,0.009261009261009262,0.009072009072009071,3.518260700650573,3.490180380161048,3.8477694298621126
2,BRIGHT / BRIGHT,50527,2.913756431852696,2.79940730192828,0.8948771408153571,0.8588538449092873,0.0288360678449146,0.028202743087854018,0.016268529696993685,0.016149781305044828,4.768056927896274,4.733219375812515,2.0426213477703965
2,BRIGHT / DARK,23661,4.410919607690377,4.198184149045528,0.991528244123421,0.9325331395051956,0.032331685051350326,0.031486412239550315,0.016482819830100165,0.016186974345970162,3.888226744420427,3.8383881247757836,2.7855149042920546
2,DARK / DARK,23326,3.4979928173424213,3.4355300972858824,0.9554494929179311,0.9322140311733318,0.030781102632255853,0.030052302152104946,0.01569064563148418,0.01569064563148418,3.600260891691528,3.581844903133871,2.4823773598656653
3,BACKUP / BACKUP,200160,3.64123139836289,2.928672855513252,1.0758279364152004,0.8656178639467484,0.06672661870503598,0.04823641087130296,0.027228217426059152,0.023201438848920862,4.612303274801547,4.289947790850279,2.7867664175176676
3,BACKUP / BRIGHT,44479,3.723286838967975,3.611660598801457,0.9447530881330071,0.9186997165827966,0.031070842420018435,0.030104094066863013,0.01477101553542121,0.014568672856853796,3.733140856621747,3.7050654097413775,2.9673967882286627
3,BACKUP / DARK,5455,5.4870080536526835,5.290122057624783,0.9363224327264781,0.9143344176232475,0.027497708524289642,0.02621448212648946,0.010815765352887259,0.010449129239230064,3.8264539389123136,3.804242158389417,3.8768691684118526
3,BRIGHT / BRIGHT,50491,2.922531930691936,2.7972464012453853,0.8967474892456286,0.8568874866605249,0.028064407518171554,0.027569269770850252,0.016161296072567388,0.01598304648353172,3.9637481968370456,3.9300810336042846,2.0441089846173632
3,BRIGHT / DARK,23752,4.417037303970859,4.180035009584623,0.9930666648174592,0.9409603687037489,0.03233411923206467,0.03149208487706298,0.015872347591781744,0.01561973728528124,3.8882382514526164,3.83362492150211,2.783985820184309
3,DARK / DARK,23651,3.4819266858648206,3.387910888589045,0.958459069552954,0.938034007601781,0.03247219990698068,0.03221851084520739,0.016193818443194792,0.016193818443194792,3.690971848031535,3.66752786392808,2.4809105921654884
4,BACKUP / BACKUP,199450,3.641620284922692,2.924015871982254,1.0768358160960012,0.8660513111314252,0.06534469791927801,0.047194785660566556,0.025755828528453248,0.021629481072950613,4.586879487792564,4.268868931108213,2.7866440690421843
4,BACKUP / BRIGHT,44224,3.7111306550648453,3.5931663573050976,0.9451755564371033,0.9154765589652547,0.028287807525325614,0.0279938494934877,0.013589905933429812,0.01363513024602026,3.7803073221255974,3.7582099521486754,2.975676806272319
4,BACKUP / DARK,5591,5.464204914165076,5.342776915027464,0.9373304475638429,0.9261860120705694,0.024861384367733858,0.024145948846360222,0.011625827222321588,0.010910391700947953,3.5572210004690374,3.532516054209479,3.81169495806992
4,BRIGHT / BRIGHT,49889,2.889843932609762,2.746181052503482,0.8920249770121351,0.8520288263103445,0.02892421175008519,0.028082342801018262,0.016717111988614725,0.01667702299104011,4.496844933079069,4.457444259087175,2.05646557641116
4,BRIGHT / DARK,23240,4.335961346609762,4.126302094458217,0.9988100540044907,0.9311331660634502,0.03231497418244406,0.0306368330464716,0.014888123924268503,0.014759036144578313,3.751915145080908,3.7032313266972867,2.782006670213923
4,DARK / DARK,23082,3.4859603290315375,3.4295959139630434,0.9561720892524446,0.9366314721478464,0.03600207954250065,0.0356121653236288,0.019755653756173643,0.019365739537301793,4.317974821771652,4.3080725011931404,2.4711137077679917
